CNES;Latitude_Nova;Longitude_Nova;Endereco_Google;Qualidade_Busca
17434;-25.3846174;-49.19787239999999;R. Cataratas do Iguaçu, 192 - Atuba, Curitiba - PR, 82860-060, Brazil;ROOFTOP
18279;-23.6644021;-46.4494394;Av. Barão de Mauá, 1473 - Jardim Zaira, Mauá - SP, 09310-250, Brazil;ROOFTOP
18708;-26.1166567;-49.77547819999999;Vila - R. São Judas Tadeu, 1345, Rio Negro - PR, 83880-000, Brazil;ROOFTOP
20354;-8.3383607;-34.9513474;R. Profa. Maria José Lage - Santo Agostinho, Cabo de Santo Agostinho - PE, Brazil;GEOMETRIC_CENTER
20362;-8.3117717;-34.9505902;R. da Alegria - Lot. Enseada dos Corais, Cabo de Santo Agostinho - PE, 54515, Brazil;GEOMETRIC_CENTER
20400;-8.220191;-34.9608075;R. Pajussara - Pontezinha, Cabo de Santo Agostinho - PE, Brazil;GEOMETRIC_CENTER
20451;-30.1031723;-51.2610872;Rua Dr. Possidônio da Cunha, 506 - Vila Assunção, Porto Alegre - RS, 91900-140, Brazil;ROOFTOP
20524;-30.0802693;-51.2481287;Av. Padre Cacique, 2893 - Praia de Belas, Porto Alegre - RS, 90810-240, Brazil;GEOMETRIC_CENTER
21806;-20.4606659;-54.61418099999999;R. Dom Aquino, 1789 - Centro, Campo Grande - MS, 79002-184, Brazil;ROOFTOP
21911;-25.2886515;-49.2168885;Rod. Antonio Gasparin, 40 - Butiatumirim, Colombo - PR, 83415-077, Brazil;RANGE_INTERPOLATED
22160;-26.6323962;-48.6853969;Av. Paraná, 428 - Centro, Barra Velha - SC, 88390-000, Brazil;ROOFTOP
22861;-19.9195507;-43.8771903;R. Pedro Alexandrino Mendonça, 127 - Taquaril, Belo Horizonte - MG, 30290-590, Brazil;ROOFTOP
24589;-22.4692301;-44.46167000000001;Tv. Felipe dos Santos, 545 - Vila Santa Cecilia, Volta Redonda - RJ, 27280-000, Brazil;ROOFTOP
24864;-23.5666249;-46.6496737;Av. Paulista, 726 - 806 - Bela Vista, São Paulo - SP, 01310-910, Brazil;ROOFTOP
24937;-23.4742504;-46.6300226;Av. Santa Inês, 616 - Mandaqui, São Paulo - SP, 02435-000, Brazil;ROOFTOP
