CNES;Motivo_Erro
37559;Caiu em cidade errada. Esperado: IBGE 330455
37567;Fora do Brasil ou no mar
37575;Fora do Brasil ou no mar
37583;Fora do Brasil ou no mar
37591;Fora do Brasil ou no mar
37613;Caiu em cidade errada. Esperado: IBGE 330455
37621;Fora do Brasil ou no mar
37656;Caiu em cidade errada. Esperado: IBGE 330455
37850;Fora do Brasil ou no mar
38458;Caiu em cidade errada. Esperado: IBGE 350450
39675;Caiu em cidade errada. Esperado: IBGE 315780
39705;Caiu em cidade errada. Esperado: IBGE 315780
40665;Fora do Brasil ou no mar
42145;Caiu em cidade errada. Esperado: IBGE 420460
42749;Caiu em cidade errada. Esperado: IBGE 351620
43834;Fora do Brasil ou no mar
43893;Caiu em cidade errada. Esperado: IBGE 510340
43923;Caiu em cidade errada. Esperado: IBGE 421660
44695;Caiu em cidade errada. Esperado: IBGE 261160
46396;Fora do Brasil ou no mar
46795;Caiu em cidade errada. Esperado: IBGE 211130
47295;Fora do Brasil ou no mar
47449;Fora do Brasil ou no mar
47678;Fora do Brasil ou no mar
47686;Caiu em cidade errada. Esperado: IBGE 510650
47724;Caiu em cidade errada. Esperado: IBGE 351630
47872;Caiu em cidade errada. Esperado: IBGE 221100
48151;Fora do Brasil ou no mar
48186;Caiu em cidade errada. Esperado: IBGE 315630
48429;Caiu em cidade errada. Esperado: IBGE 320060
49239;Caiu em cidade errada. Esperado: IBGE 261500
49654;Caiu em cidade errada. Esperado: IBGE 355220
50857;Fora do Brasil ou no mar
51675;Caiu em cidade errada. Esperado: IBGE 420280
51950;Fora do Brasil ou no mar
52094;Caiu em cidade errada. Esperado: IBGE 420200
52213;Caiu em cidade errada. Esperado: IBGE 150210
52531;Fora do Brasil ou no mar
53465;Caiu em cidade errada. Esperado: IBGE 292740
53767;Fora do Brasil ou no mar
54267;Fora do Brasil ou no mar
54968;Fora do Brasil ou no mar
55069;Fora do Brasil ou no mar
55301;Caiu em cidade errada. Esperado: IBGE 330455
55425;Fora do Brasil ou no mar
55859;Fora do Brasil ou no mar
55999;Caiu em cidade errada. Esperado: IBGE 292740
56006;Fora do Brasil ou no mar
56049;Caiu em cidade errada. Esperado: IBGE 420420
56626;Caiu em cidade errada. Esperado: IBGE 221100
56758;Fora do Brasil ou no mar
57037;Caiu em cidade errada. Esperado: IBGE 521040
57398;Caiu em cidade errada. Esperado: IBGE 330455
57568;Fora do Brasil ou no mar
57819;Caiu em cidade errada. Esperado: IBGE 110018
57975;Fora do Brasil ou no mar
58157;Fora do Brasil ou no mar
58343;Caiu em cidade errada. Esperado: IBGE 354850
58637;Fora do Brasil ou no mar
58998;Caiu em cidade errada. Esperado: IBGE 520870
59218;Caiu em cidade errada. Esperado: IBGE 290320
59226;Caiu em cidade errada. Esperado: IBGE 172100
60208;Fora do Brasil ou no mar
60240;Fora do Brasil ou no mar
61204;Fora do Brasil ou no mar
61514;Caiu em cidade errada. Esperado: IBGE 292260
61573;Caiu em cidade errada. Esperado: IBGE 351905
61581;Caiu em cidade errada. Esperado: IBGE 313240
61611;Caiu em cidade errada. Esperado: IBGE 313240
62200;Caiu em cidade errada. Esperado: IBGE 293210
62545;Fora do Brasil ou no mar
63126;Caiu em cidade errada. Esperado: IBGE 355030
63258;Caiu em cidade errada. Esperado: IBGE 355030
63746;Caiu em cidade errada. Esperado: IBGE 355030
64122;Caiu em cidade errada. Esperado: IBGE 354870
64637;Caiu em cidade errada. Esperado: IBGE 311200
65331;Caiu em cidade errada. Esperado: IBGE 352590
66893;Caiu em cidade errada. Esperado: IBGE 150680
67512;Caiu em cidade errada. Esperado: IBGE 355030
67636;Caiu em cidade errada. Esperado: IBGE 352590
67911;Caiu em cidade errada. Esperado: IBGE 354260
68373;Caiu em cidade errada. Esperado: IBGE 210480
68489;Caiu em cidade errada. Esperado: IBGE 211130
68691;Caiu em cidade errada. Esperado: IBGE 520870
69213;Caiu em cidade errada. Esperado: IBGE 315780
69256;Caiu em cidade errada. Esperado: IBGE 354870
69949;Fora do Brasil ou no mar
70157;Caiu em cidade errada. Esperado: IBGE 432260
70971;Caiu em cidade errada. Esperado: IBGE 330455
70998;Caiu em cidade errada. Esperado: IBGE 330455
71021;Caiu em cidade errada. Esperado: IBGE 330455
71064;Fora do Brasil ou no mar
71412;Caiu em cidade errada. Esperado: IBGE 261160
71773;Caiu em cidade errada. Esperado: IBGE 510600
72389;Caiu em cidade errada. Esperado: IBGE 352940
73989;Caiu em cidade errada. Esperado: IBGE 320500
73997;Fora do Brasil ou no mar
75434;Caiu em cidade errada. Esperado: IBGE 350570
77712;Caiu em cidade errada. Esperado: IBGE 280030
77917;Caiu em cidade errada. Esperado: IBGE 421360
78069;Fora do Brasil ou no mar
78719;Caiu em cidade errada. Esperado: IBGE 120038
79146;Caiu em cidade errada. Esperado: IBGE 355280
79162;Caiu em cidade errada. Esperado: IBGE 355280
79170;Caiu em cidade errada. Esperado: IBGE 355280
79189;Caiu em cidade errada. Esperado: IBGE 355280
79936;Caiu em cidade errada. Esperado: IBGE 530010
81639;Caiu em cidade errada. Esperado: IBGE 353800
81930;Fora do Brasil ou no mar
82139;Caiu em cidade errada. Esperado: IBGE 320500
82260;Caiu em cidade errada. Esperado: IBGE 420390
82309;Caiu em cidade errada. Esperado: IBGE 420390
82376;Caiu em cidade errada. Esperado: IBGE 354880
82686;Caiu em cidade errada. Esperado: IBGE 355030
