CNES;Motivo_Erro
2760223;Caiu em cidade errada. Esperado: IBGE 311330
2761092;Caiu em cidade errada. Esperado: IBGE 317070
2761130;Caiu em cidade errada. Esperado: IBGE 310130
2762056;Caiu em cidade errada. Esperado: IBGE 310710
2762366;Caiu em cidade errada. Esperado: IBGE 311060
2762676;Caiu em cidade errada. Esperado: IBGE 311640
2763540;Caiu em cidade errada. Esperado: IBGE 315670
2763729;Caiu em cidade errada. Esperado: IBGE 317070
2763907;Caiu em cidade errada. Esperado: IBGE 315670
2764164;Caiu em cidade errada. Esperado: IBGE 316200
2764385;Caiu em cidade errada. Esperado: IBGE 314790
2764466;Caiu em cidade errada. Esperado: IBGE 313375
2764482;Caiu em cidade errada. Esperado: IBGE 315160
2764776;Caiu em cidade errada. Esperado: IBGE 311330
2765640;Caiu em cidade errada. Esperado: IBGE 170930
2765942;Caiu em cidade errada. Esperado: IBGE 355220
2766361;Caiu em cidade errada. Esperado: IBGE 240810
2767635;Caiu em cidade errada. Esperado: IBGE 510340
2768283;Caiu em cidade errada. Esperado: IBGE 310160
2768496;Caiu em cidade errada. Esperado: IBGE 314870
2768976;Caiu em cidade errada. Esperado: IBGE 520005
2769492;Caiu em cidade errada. Esperado: IBGE 522045
2771152;Caiu em cidade errada. Esperado: IBGE 291830
2771209;Caiu em cidade errada. Esperado: IBGE 291830
2771659;Caiu em cidade errada. Esperado: IBGE 292250
2772485;Caiu em cidade errada. Esperado: IBGE 313510
2772906;Caiu em cidade errada. Esperado: IBGE 251130
2773465;Caiu em cidade errada. Esperado: IBGE 355250
2773600;Caiu em cidade errada. Esperado: IBGE 355250
2773694;Caiu em cidade errada. Esperado: IBGE 351570
2773821;Caiu em cidade errada. Esperado: IBGE 353980
2775794;Caiu em cidade errada. Esperado: IBGE 317060
2775913;Caiu em cidade errada. Esperado: IBGE 316200
2776049;Caiu em cidade errada. Esperado: IBGE 315900
2776359;Caiu em cidade errada. Esperado: IBGE 315160
2777126;Caiu em cidade errada. Esperado: IBGE 311330
2777355;Caiu em cidade errada. Esperado: IBGE 311730
2777363;Caiu em cidade errada. Esperado: IBGE 311730
2777584;Fora do Brasil ou no mar
2777878;Caiu em cidade errada. Esperado: IBGE 220400
2778130;Caiu em cidade errada. Esperado: IBGE 220060
2778173;Caiu em cidade errada. Esperado: IBGE 220510
2778912;Fora do Brasil ou no mar
2779080;Caiu em cidade errada. Esperado: IBGE 420700
2781115;Caiu em cidade errada. Esperado: IBGE 410880
2781905;Fora do Brasil ou no mar
2783118;Caiu em cidade errada. Esperado: IBGE 412170
2783347;Caiu em cidade errada. Esperado: IBGE 411885
2783444;Caiu em cidade errada. Esperado: IBGE 412690
2783525;Fora do Brasil ou no mar
2783584;Caiu em cidade errada. Esperado: IBGE 410900
2783630;Caiu em cidade errada. Esperado: IBGE 412480
2784750;Caiu em cidade errada. Esperado: IBGE 353060
2785188;Caiu em cidade errada. Esperado: IBGE 355280
2785455;Caiu em cidade errada. Esperado: IBGE 354210
2785463;Caiu em cidade errada. Esperado: IBGE 354670
2785552;Caiu em cidade errada. Esperado: IBGE 355220
2785765;Caiu em cidade errada. Esperado: IBGE 313940
2786451;Caiu em cidade errada. Esperado: IBGE 350450
2786761;Caiu em cidade errada. Esperado: IBGE 355030
2787040;Caiu em cidade errada. Esperado: IBGE 355030
2787512;Caiu em cidade errada. Esperado: IBGE 355030
2787555;Caiu em cidade errada. Esperado: IBGE 355030
2787679;Caiu em cidade errada. Esperado: IBGE 355030
2787954;Caiu em cidade errada. Esperado: IBGE 355030
2788020;Caiu em cidade errada. Esperado: IBGE 355030
2788810;Caiu em cidade errada. Esperado: IBGE 355030
2789140;Caiu em cidade errada. Esperado: IBGE 355030
2789213;Caiu em cidade errada. Esperado: IBGE 355030
2789221;Caiu em cidade errada. Esperado: IBGE 355030
2789248;Caiu em cidade errada. Esperado: IBGE 355030
2790955;Caiu em cidade errada. Esperado: IBGE 353890
2791080;Caiu em cidade errada. Esperado: IBGE 350600
2792184;Caiu em cidade errada. Esperado: IBGE 355280
2792230;Caiu em cidade errada. Esperado: IBGE 355645
2792249;Caiu em cidade errada. Esperado: IBGE 352250
2793113;Caiu em cidade errada. Esperado: IBGE 430215
2793148;Caiu em cidade errada. Esperado: IBGE 430215
2793164;Caiu em cidade errada. Esperado: IBGE 431861
2793229;Caiu em cidade errada. Esperado: IBGE 431720
2793407;Fora do Brasil ou no mar
2793415;Fora do Brasil ou no mar
2794241;Caiu em cidade errada. Esperado: IBGE 313590
2794381;Caiu em cidade errada. Esperado: IBGE 317170
2794586;Caiu em cidade errada. Esperado: IBGE 312360
2794632;Caiu em cidade errada. Esperado: IBGE 317070
2794926;Caiu em cidade errada. Esperado: IBGE 312050
2794934;Caiu em cidade errada. Esperado: IBGE 316520
2795191;Caiu em cidade errada. Esperado: IBGE 312050
2795418;Caiu em cidade errada. Esperado: IBGE 311060
2795892;Caiu em cidade errada. Esperado: IBGE 510792
2797712;Caiu em cidade errada. Esperado: IBGE 350320
2798085;Caiu em cidade errada. Esperado: IBGE 241200
2798344;Fora do Brasil ou no mar
2798417;Caiu em cidade errada. Esperado: IBGE 140005
2799383;Caiu em cidade errada. Esperado: IBGE 291830
2799413;Caiu em cidade errada. Esperado: IBGE 291640
2800403;Caiu em cidade errada. Esperado: IBGE 292800
2800780;Caiu em cidade errada. Esperado: IBGE 310600
2801116;Caiu em cidade errada. Esperado: IBGE 351380
2801132;Caiu em cidade errada. Esperado: IBGE 351380
2801221;Caiu em cidade errada. Esperado: IBGE 351380
2801418;Caiu em cidade errada. Esperado: IBGE 291170
2802104;Fora do Brasil ou no mar
2802600;Caiu em cidade errada. Esperado: IBGE 280550
2802953;Caiu em cidade errada. Esperado: IBGE 411980
2803283;Caiu em cidade errada. Esperado: IBGE 110008
2803410;Caiu em cidade errada. Esperado: IBGE 110094
2804638;Caiu em cidade errada. Esperado: IBGE 150320
2805030;Caiu em cidade errada. Esperado: IBGE 293300
2806177;Caiu em cidade errada. Esperado: IBGE 230140
2806207;Caiu em cidade errada. Esperado: IBGE 230140
2806916;Caiu em cidade errada. Esperado: IBGE 110020
2808242;Caiu em cidade errada. Esperado: IBGE 110080
2810158;Fora do Brasil ou no mar
2811251;Caiu em cidade errada. Esperado: IBGE 210820
2812266;Caiu em cidade errada. Esperado: IBGE 250320
2812290;Fora do Brasil ou no mar
2812304;Fora do Brasil ou no mar
2812398;Fora do Brasil ou no mar
2812401;Fora do Brasil ou no mar
2812428;Fora do Brasil ou no mar
2812436;Caiu em cidade errada. Esperado: IBGE 250320
2812479;Fora do Brasil ou no mar
2812487;Fora do Brasil ou no mar
2812495;Fora do Brasil ou no mar
2812533;Fora do Brasil ou no mar
2812592;Fora do Brasil ou no mar
2812614;Fora do Brasil ou no mar
2812932;Caiu em cidade errada. Esperado: IBGE 251620
2812991;Fora do Brasil ou no mar
2813246;Caiu em cidade errada. Esperado: IBGE 251620
2813289;Caiu em cidade errada. Esperado: IBGE 355280
2813483;Fora do Brasil ou no mar
2813947;Caiu em cidade errada. Esperado: IBGE 510760
2814080;Caiu em cidade errada. Esperado: IBGE 210820
2814196;Fora do Brasil ou no mar
2815168;Fora do Brasil ou no mar
2815214;Caiu em cidade errada. Esperado: IBGE 310160
2815842;Caiu em cidade errada. Esperado: IBGE 280320
2816938;Fora do Brasil ou no mar
2817012;Caiu em cidade errada. Esperado: IBGE 311340
2817829;Fora do Brasil ou no mar
2817837;Fora do Brasil ou no mar
2817853;Fora do Brasil ou no mar
2817861;Fora do Brasil ou no mar
2818140;Fora do Brasil ou no mar
2818272;Fora do Brasil ou no mar
2818388;Fora do Brasil ou no mar
2818396;Fora do Brasil ou no mar
2818442;Fora do Brasil ou no mar
2818477;Fora do Brasil ou no mar
2818485;Fora do Brasil ou no mar
2818493;Fora do Brasil ou no mar
2818531;Fora do Brasil ou no mar
2818558;Fora do Brasil ou no mar
2818590;Fora do Brasil ou no mar
2818620;Fora do Brasil ou no mar
2818698;Fora do Brasil ou no mar
2818701;Fora do Brasil ou no mar
2818809;Fora do Brasil ou no mar
2818841;Fora do Brasil ou no mar
2818884;Fora do Brasil ou no mar
2819015;Fora do Brasil ou no mar
2819155;Caiu em cidade errada. Esperado: IBGE 290320
2820862;Caiu em cidade errada. Esperado: IBGE 430920
2821230;Caiu em cidade errada. Esperado: IBGE 320090
2821249;Caiu em cidade errada. Esperado: IBGE 210880
2821311;Fora do Brasil ou no mar
2821389;Caiu em cidade errada. Esperado: IBGE 210490
2821427;Caiu em cidade errada. Esperado: IBGE 430535
2821508;Caiu em cidade errada. Esperado: IBGE 430535
2821516;Caiu em cidade errada. Esperado: IBGE 430535
2821524;Caiu em cidade errada. Esperado: IBGE 430535
2821605;Caiu em cidade errada. Esperado: IBGE 421360
2821648;Caiu em cidade errada. Esperado: IBGE 330170
2822326;Caiu em cidade errada. Esperado: IBGE 411915
2822636;Caiu em cidade errada. Esperado: IBGE 293250
2823284;Caiu em cidade errada. Esperado: IBGE 292580
2824205;Caiu em cidade errada. Esperado: IBGE 421360
2826046;Caiu em cidade errada. Esperado: IBGE 320120
2826186;Caiu em cidade errada. Esperado: IBGE 211107
2826194;Fora do Brasil ou no mar
2826321;Caiu em cidade errada. Esperado: IBGE 330490
2826674;Caiu em cidade errada. Esperado: IBGE 293220
2826992;Caiu em cidade errada. Esperado: IBGE 355030
2827271;Fora do Brasil ou no mar
2827964;Caiu em cidade errada. Esperado: IBGE 261540
2828596;Fora do Brasil ou no mar
2828626;Caiu em cidade errada. Esperado: IBGE 320500
2828723;Caiu em cidade errada. Esperado: IBGE 240050
2828820;Caiu em cidade errada. Esperado: IBGE 420830
2829436;Caiu em cidade errada. Esperado: IBGE 420870
2830353;Caiu em cidade errada. Esperado: IBGE 311860
2830434;Fora do Brasil ou no mar
2830450;Caiu em cidade errada. Esperado: IBGE 500830
2830833;Caiu em cidade errada. Esperado: IBGE 410400
2831171;Caiu em cidade errada. Esperado: IBGE 330490
2831465;Caiu em cidade errada. Esperado: IBGE 120060
2831554;Fora do Brasil ou no mar
2831686;Fora do Brasil ou no mar
2831996;Caiu em cidade errada. Esperado: IBGE 260700
2832100;Caiu em cidade errada. Esperado: IBGE 411570
2832348;Caiu em cidade errada. Esperado: IBGE 315733
2832623;Caiu em cidade errada. Esperado: IBGE 251278
2832895;Caiu em cidade errada. Esperado: IBGE 251278
2833131;Caiu em cidade errada. Esperado: IBGE 313240
2833328;Caiu em cidade errada. Esperado: IBGE 520870
2833549;Caiu em cidade errada. Esperado: IBGE 355030
2833859;Caiu em cidade errada. Esperado: IBGE 431180
2833891;Fora do Brasil ou no mar
2834278;Caiu em cidade errada. Esperado: IBGE 430350
2834340;Fora do Brasil ou no mar
2834383;Caiu em cidade errada. Esperado: IBGE 310620
2834669;Caiu em cidade errada. Esperado: IBGE 412480
2834731;Caiu em cidade errada. Esperado: IBGE 420820
2834928;Caiu em cidade errada. Esperado: IBGE 240810
2834944;Caiu em cidade errada. Esperado: IBGE 240810
2835061;Caiu em cidade errada. Esperado: IBGE 311860
2835630;Caiu em cidade errada. Esperado: IBGE 330455
2835967;Fora do Brasil ou no mar
2836076;Fora do Brasil ou no mar
2836122;Fora do Brasil ou no mar
2837137;Fora do Brasil ou no mar
2837226;Caiu em cidade errada. Esperado: IBGE 350650
2837242;Fora do Brasil ou no mar
2837579;Caiu em cidade errada. Esperado: IBGE 411007
2837676;Fora do Brasil ou no mar
2837692;Caiu em cidade errada. Esperado: IBGE 330455
2837781;Caiu em cidade errada. Esperado: IBGE 330455
2838028;Caiu em cidade errada. Esperado: IBGE 530010
2839385;Fora do Brasil ou no mar
2839423;Fora do Brasil ou no mar
2839512;Caiu em cidade errada. Esperado: IBGE 411640
2839660;Caiu em cidade errada. Esperado: IBGE 421360
2840146;Caiu em cidade errada. Esperado: IBGE 120040
2840189;Fora do Brasil ou no mar
2840928;Caiu em cidade errada. Esperado: IBGE 350900
2841096;Caiu em cidade errada. Esperado: IBGE 120040
2841762;Caiu em cidade errada. Esperado: IBGE 411007
2841959;Caiu em cidade errada. Esperado: IBGE 520870
2842653;Fora do Brasil ou no mar
2842785;Caiu em cidade errada. Esperado: IBGE 313770
2842866;Caiu em cidade errada. Esperado: IBGE 354880
2843234;Fora do Brasil ou no mar
2843455;Caiu em cidade errada. Esperado: IBGE 330070
2844001;Fora do Brasil ou no mar
2844265;Fora do Brasil ou no mar
2844397;Caiu em cidade errada. Esperado: IBGE 160030
2844540;Caiu em cidade errada. Esperado: IBGE 430960
2844567;Caiu em cidade errada. Esperado: IBGE 430960
2845032;Fora do Brasil ou no mar
2846047;Caiu em cidade errada. Esperado: IBGE 420460
2846683;Caiu em cidade errada. Esperado: IBGE 291710
2846845;Caiu em cidade errada. Esperado: IBGE 500345
2846926;Caiu em cidade errada. Esperado: IBGE 130040
2847248;Caiu em cidade errada. Esperado: IBGE 311860
2847728;Caiu em cidade errada. Esperado: IBGE 330490
2848120;Caiu em cidade errada. Esperado: IBGE 330020
2848147;Fora do Brasil ou no mar
2848570;Caiu em cidade errada. Esperado: IBGE 354880
2848708;Caiu em cidade errada. Esperado: IBGE 431346
2849763;Fora do Brasil ou no mar
2849917;Caiu em cidade errada. Esperado: IBGE 261200
2849992;Caiu em cidade errada. Esperado: IBGE 291390
2850036;Fora do Brasil ou no mar
2850796;Caiu em cidade errada. Esperado: IBGE 350520
2850885;Caiu em cidade errada. Esperado: IBGE 412810
2851210;Caiu em cidade errada. Esperado: IBGE 355710
2851369;Fora do Brasil ou no mar
2851415;Caiu em cidade errada. Esperado: IBGE 330455
2851466;Caiu em cidade errada. Esperado: IBGE 421870
2852624;Caiu em cidade errada. Esperado: IBGE 355030
2852810;Caiu em cidade errada. Esperado: IBGE 352850
2852993;Fora do Brasil ou no mar
2853086;Fora do Brasil ou no mar
2853094;Fora do Brasil ou no mar
2853264;Caiu em cidade errada. Esperado: IBGE 315733
2853868;Caiu em cidade errada. Esperado: IBGE 330411
2854066;Fora do Brasil ou no mar
2854163;Caiu em cidade errada. Esperado: IBGE 355280
2854295;Fora do Brasil ou no mar
2854589;Caiu em cidade errada. Esperado: IBGE 330455
2854708;Fora do Brasil ou no mar
2854740;Caiu em cidade errada. Esperado: IBGE 310160
2854759;Caiu em cidade errada. Esperado: IBGE 330455
2854856;Caiu em cidade errada. Esperado: IBGE 432260
2855917;Caiu em cidade errada. Esperado: IBGE 355410
2856239;Caiu em cidade errada. Esperado: IBGE 150616
2856425;Fora do Brasil ou no mar
2856441;Caiu em cidade errada. Esperado: IBGE 330455
2856719;Fora do Brasil ou no mar
2856743;Fora do Brasil ou no mar
2856824;Fora do Brasil ou no mar
2856832;Fora do Brasil ou no mar
2856905;Fora do Brasil ou no mar
2857049;Caiu em cidade errada. Esperado: IBGE 210120
2857103;Caiu em cidade errada. Esperado: IBGE 431560
2857235;Caiu em cidade errada. Esperado: IBGE 317130
2857278;Caiu em cidade errada. Esperado: IBGE 330070
2857294;Caiu em cidade errada. Esperado: IBGE 330070
2857359;Fora do Brasil ou no mar
2857391;Fora do Brasil ou no mar
2858118;Caiu em cidade errada. Esperado: IBGE 410337
2859548;Caiu em cidade errada. Esperado: IBGE 314070
2860007;Caiu em cidade errada. Esperado: IBGE 270710
2860236;Caiu em cidade errada. Esperado: IBGE 421170
2860589;Caiu em cidade errada. Esperado: IBGE 270430
2861518;Caiu em cidade errada. Esperado: IBGE 351110
2861658;Caiu em cidade errada. Esperado: IBGE 330455
2861836;Caiu em cidade errada. Esperado: IBGE 320080
2862344;Caiu em cidade errada. Esperado: IBGE 521860
2862476;Fora do Brasil ou no mar
2862697;Caiu em cidade errada. Esperado: IBGE 410940
2862735;Caiu em cidade errada. Esperado: IBGE 211157
2863251;Fora do Brasil ou no mar
2863294;Caiu em cidade errada. Esperado: IBGE 320070
2863383;Fora do Brasil ou no mar
2863626;Fora do Brasil ou no mar
2863634;Fora do Brasil ou no mar
2863782;Fora do Brasil ou no mar
2863987;Fora do Brasil ou no mar
2864126;Caiu em cidade errada. Esperado: IBGE 330455
2864134;Fora do Brasil ou no mar
2864509;Caiu em cidade errada. Esperado: IBGE 310390
2864541;Fora do Brasil ou no mar
2864924;Fora do Brasil ou no mar
2864975;Caiu em cidade errada. Esperado: IBGE 110020
2865068;Fora do Brasil ou no mar
2865254;Caiu em cidade errada. Esperado: IBGE 355030
2865297;Caiu em cidade errada. Esperado: IBGE 355030
2865521;Caiu em cidade errada. Esperado: IBGE 160030
2865661;Caiu em cidade errada. Esperado: IBGE 350570
2865971;Caiu em cidade errada. Esperado: IBGE 330455
2866005;Fora do Brasil ou no mar
2867176;Caiu em cidade errada. Esperado: IBGE 431010
2867346;Fora do Brasil ou no mar
2867451;Fora do Brasil ou no mar
2867753;Caiu em cidade errada. Esperado: IBGE 280030
2868067;Fora do Brasil ou no mar
2868075;Fora do Brasil ou no mar
2868091;Caiu em cidade errada. Esperado: IBGE 330330
2868148;Caiu em cidade errada. Esperado: IBGE 330455
2868296;Caiu em cidade errada. Esperado: IBGE 432250
2868334;Caiu em cidade errada. Esperado: IBGE 330455
2868369;Caiu em cidade errada. Esperado: IBGE 330455
2868512;Caiu em cidade errada. Esperado: IBGE 310620
2868636;Caiu em cidade errada. Esperado: IBGE 311060
2868725;Caiu em cidade errada. Esperado: IBGE 430700
2868954;Fora do Brasil ou no mar
2869144;Fora do Brasil ou no mar
2869195;Fora do Brasil ou no mar
2869497;Caiu em cidade errada. Esperado: IBGE 260775
2869632;Caiu em cidade errada. Esperado: IBGE 432250
2869683;Caiu em cidade errada. Esperado: IBGE 431040
2869764;Caiu em cidade errada. Esperado: IBGE 354890
2869799;Caiu em cidade errada. Esperado: IBGE 350750
2870185;Fora do Brasil ou no mar
2870231;Fora do Brasil ou no mar
2870347;Fora do Brasil ou no mar
2870401;Fora do Brasil ou no mar
2870452;Caiu em cidade errada. Esperado: IBGE 354880
2870460;Caiu em cidade errada. Esperado: IBGE 354880
2870576;Fora do Brasil ou no mar
2870886;Fora do Brasil ou no mar
2871718;Fora do Brasil ou no mar
2871742;Caiu em cidade errada. Esperado: IBGE 350570
2871823;Caiu em cidade errada. Esperado: IBGE 420770
2871998;Fora do Brasil ou no mar
2872013;Caiu em cidade errada. Esperado: IBGE 330455
2872021;Fora do Brasil ou no mar
2872110;Caiu em cidade errada. Esperado: IBGE 261110
2872358;Fora do Brasil ou no mar
2872528;Caiu em cidade errada. Esperado: IBGE 160030
2872587;Fora do Brasil ou no mar
2872862;Caiu em cidade errada. Esperado: IBGE 261160
2873176;Caiu em cidade errada. Esperado: IBGE 354340
2873605;Caiu em cidade errada. Esperado: IBGE 432250
2874164;Caiu em cidade errada. Esperado: IBGE 520870
2874695;Caiu em cidade errada. Esperado: IBGE 313960
2875144;Fora do Brasil ou no mar
2875306;Caiu em cidade errada. Esperado: IBGE 313240
2875322;Caiu em cidade errada. Esperado: IBGE 293010
2875446;Caiu em cidade errada. Esperado: IBGE 352480
2876558;Caiu em cidade errada. Esperado: IBGE 314080
2876876;Caiu em cidade errada. Esperado: IBGE 330455
2876884;Fora do Brasil ou no mar
2877104;Caiu em cidade errada. Esperado: IBGE 510517
2877376;Fora do Brasil ou no mar
2877449;Caiu em cidade errada. Esperado: IBGE 315733
2877937;Fora do Brasil ou no mar
2878437;Caiu em cidade errada. Esperado: IBGE 520870
2878674;Caiu em cidade errada. Esperado: IBGE 421750
2879824;Fora do Brasil ou no mar
2880180;Fora do Brasil ou no mar
2880342;Fora do Brasil ou no mar
2881136;Caiu em cidade errada. Esperado: IBGE 311060
2881306;Caiu em cidade errada. Esperado: IBGE 317070
2881667;Fora do Brasil ou no mar
2881799;Caiu em cidade errada. Esperado: IBGE 250750
2881985;Fora do Brasil ou no mar
2882124;Caiu em cidade errada. Esperado: IBGE 330455
2882264;Fora do Brasil ou no mar
2882485;Caiu em cidade errada. Esperado: IBGE 355280
2882833;Fora do Brasil ou no mar
2882914;Caiu em cidade errada. Esperado: IBGE 230440
2883325;Caiu em cidade errada. Esperado: IBGE 330170
2883376;Caiu em cidade errada. Esperado: IBGE 500290
2883899;Caiu em cidade errada. Esperado: IBGE 420420
2884046;Fora do Brasil ou no mar
2884518;Caiu em cidade errada. Esperado: IBGE 313170
2884968;Fora do Brasil ou no mar
2885387;Caiu em cidade errada. Esperado: IBGE 170950
2885514;Caiu em cidade errada. Esperado: IBGE 355280
2885921;Caiu em cidade errada. Esperado: IBGE 355280
2886340;Caiu em cidade errada. Esperado: IBGE 355030
2886847;Caiu em cidade errada. Esperado: IBGE 311860
2887045;Caiu em cidade errada. Esperado: IBGE 313630
2887436;Caiu em cidade errada. Esperado: IBGE 150770
2887533;Caiu em cidade errada. Esperado: IBGE 521860
2887746;Caiu em cidade errada. Esperado: IBGE 260680
2888394;Fora do Brasil ou no mar
2888491;Caiu em cidade errada. Esperado: IBGE 354400
2888912;Caiu em cidade errada. Esperado: IBGE 520540
2889218;Caiu em cidade errada. Esperado: IBGE 355280
2889420;Caiu em cidade errada. Esperado: IBGE 291580
2889471;Caiu em cidade errada. Esperado: IBGE 430490
2889625;Fora do Brasil ou no mar
2889765;Fora do Brasil ou no mar
2889951;Caiu em cidade errada. Esperado: IBGE 420930
2889986;Fora do Brasil ou no mar
2890283;Fora do Brasil ou no mar
2890380;Caiu em cidade errada. Esperado: IBGE 330455
2890402;Fora do Brasil ou no mar
2890429;Caiu em cidade errada. Esperado: IBGE 420820
2891204;Caiu em cidade errada. Esperado: IBGE 354880
2891336;Caiu em cidade errada. Esperado: IBGE 355030
2891514;Fora do Brasil ou no mar
2891751;Fora do Brasil ou no mar
2893002;Caiu em cidade errada. Esperado: IBGE 240810
2893096;Caiu em cidade errada. Esperado: IBGE 313240
2893428;Caiu em cidade errada. Esperado: IBGE 430440
2893495;Fora do Brasil ou no mar
2893827;Caiu em cidade errada. Esperado: IBGE 330455
2893932;Caiu em cidade errada. Esperado: IBGE 350520
2894408;Caiu em cidade errada. Esperado: IBGE 431440
2894475;Caiu em cidade errada. Esperado: IBGE 211130
2894483;Fora do Brasil ou no mar
2894521;Fora do Brasil ou no mar
2894572;Fora do Brasil ou no mar
2894610;Fora do Brasil ou no mar
2895242;Fora do Brasil ou no mar
2895269;Fora do Brasil ou no mar
2896044;Caiu em cidade errada. Esperado: IBGE 430390
2896249;Caiu em cidade errada. Esperado: IBGE 211130
2896303;Caiu em cidade errada. Esperado: IBGE 521860
2896672;Caiu em cidade errada. Esperado: IBGE 290730
2897199;Caiu em cidade errada. Esperado: IBGE 350520
2897407;Fora do Brasil ou no mar
2897520;Fora do Brasil ou no mar
2897652;Fora do Brasil ou no mar
2897806;Caiu em cidade errada. Esperado: IBGE 351500
2897865;Caiu em cidade errada. Esperado: IBGE 280030
2898020;Caiu em cidade errada. Esperado: IBGE 270430
2898357;Caiu em cidade errada. Esperado: IBGE 172100
2898373;Fora do Brasil ou no mar
2899086;Caiu em cidade errada. Esperado: IBGE 430680
2899388;Fora do Brasil ou no mar
2899558;Caiu em cidade errada. Esperado: IBGE 240800
2899566;Caiu em cidade errada. Esperado: IBGE 320530
2899795;Caiu em cidade errada. Esperado: IBGE 330455
2899965;Caiu em cidade errada. Esperado: IBGE 355220
2899973;Caiu em cidade errada. Esperado: IBGE 430680
2900122;Fora do Brasil ou no mar
2900270;Caiu em cidade errada. Esperado: IBGE 330455
2900416;Fora do Brasil ou no mar
2900475;Caiu em cidade errada. Esperado: IBGE 520870
2900580;Caiu em cidade errada. Esperado: IBGE 520870
2902052;Caiu em cidade errada. Esperado: IBGE 520540
2902354;Caiu em cidade errada. Esperado: IBGE 330455
2903601;Caiu em cidade errada. Esperado: IBGE 420200
2903814;Caiu em cidade errada. Esperado: IBGE 430510
2904306;Caiu em cidade errada. Esperado: IBGE 210990
2904551;Fora do Brasil ou no mar
2904683;Caiu em cidade errada. Esperado: IBGE 330455
2905078;Caiu em cidade errada. Esperado: IBGE 530010
2905760;Fora do Brasil ou no mar
2906058;Fora do Brasil ou no mar
2906554;Caiu em cidade errada. Esperado: IBGE 351570
2906740;Caiu em cidade errada. Esperado: IBGE 412230
2907089;Caiu em cidade errada. Esperado: IBGE 230230
2907542;Caiu em cidade errada. Esperado: IBGE 330455
2907593;Fora do Brasil ou no mar
2907690;Caiu em cidade errada. Esperado: IBGE 330490
2907739;Caiu em cidade errada. Esperado: IBGE 330490
2907747;Caiu em cidade errada. Esperado: IBGE 431180
2907879;Caiu em cidade errada. Esperado: IBGE 171360
2907933;Caiu em cidade errada. Esperado: IBGE 330180
2908964;Caiu em cidade errada. Esperado: IBGE 355030
2909189;Caiu em cidade errada. Esperado: IBGE 310620
2909243;Caiu em cidade errada. Esperado: IBGE 314480
2909626;Fora do Brasil ou no mar
2909634;Fora do Brasil ou no mar
2909642;Caiu em cidade errada. Esperado: IBGE 330455
2909979;Caiu em cidade errada. Esperado: IBGE 261160
2910780;Caiu em cidade errada. Esperado: IBGE 421225
2910802;Caiu em cidade errada. Esperado: IBGE 261110
2910896;Caiu em cidade errada. Esperado: IBGE 240800
2911426;Fora do Brasil ou no mar
2911620;Caiu em cidade errada. Esperado: IBGE 210990
2911868;Caiu em cidade errada. Esperado: IBGE 312320
2912147;Caiu em cidade errada. Esperado: IBGE 432250
2912155;Fora do Brasil ou no mar
2912295;Fora do Brasil ou no mar
2912503;Caiu em cidade errada. Esperado: IBGE 522045
2912562;Caiu em cidade errada. Esperado: IBGE 421590
2913313;Fora do Brasil ou no mar
2913372;Caiu em cidade errada. Esperado: IBGE 354850
2913461;Fora do Brasil ou no mar
2913585;Caiu em cidade errada. Esperado: IBGE 311060
2913860;Caiu em cidade errada. Esperado: IBGE 315780
2914026;Caiu em cidade errada. Esperado: IBGE 260345
2914239;Caiu em cidade errada. Esperado: IBGE 260345
2914263;Caiu em cidade errada. Esperado: IBGE 421950
2914433;Caiu em cidade errada. Esperado: IBGE 420670
2915391;Caiu em cidade errada. Esperado: IBGE 352920
2915448;Caiu em cidade errada. Esperado: IBGE 432010
2915529;Fora do Brasil ou no mar
2915596;Fora do Brasil ou no mar
2915804;Fora do Brasil ou no mar
2916657;Caiu em cidade errada. Esperado: IBGE 430440
2916703;Caiu em cidade errada. Esperado: IBGE 291480
2916916;Caiu em cidade errada. Esperado: IBGE 330023
2916932;Fora do Brasil ou no mar
2916975;Caiu em cidade errada. Esperado: IBGE 521150
2917181;Caiu em cidade errada. Esperado: IBGE 432250
2917378;Caiu em cidade errada. Esperado: IBGE 210120
2917386;Caiu em cidade errada. Esperado: IBGE 210120
2917831;Caiu em cidade errada. Esperado: IBGE 330455
2918285;Fora do Brasil ou no mar
2918412;Fora do Brasil ou no mar
2918420;Fora do Brasil ou no mar
2918528;Caiu em cidade errada. Esperado: IBGE 355280
2918544;Caiu em cidade errada. Esperado: IBGE 211130
2918587;Caiu em cidade errada. Esperado: IBGE 310160
2918811;Fora do Brasil ou no mar
2918951;Fora do Brasil ou no mar
2919044;Caiu em cidade errada. Esperado: IBGE 420420
2919052;Caiu em cidade errada. Esperado: IBGE 432160
2919656;Fora do Brasil ou no mar
2919788;Caiu em cidade errada. Esperado: IBGE 420420
2920115;Caiu em cidade errada. Esperado: IBGE 330455
2920395;Fora do Brasil ou no mar
2920409;Fora do Brasil ou no mar
2920840;Caiu em cidade errada. Esperado: IBGE 355030
2920875;Caiu em cidade errada. Esperado: IBGE 355030
2920891;Caiu em cidade errada. Esperado: IBGE 355030
2920999;Caiu em cidade errada. Esperado: IBGE 355030
2921294;Caiu em cidade errada. Esperado: IBGE 354870
2921456;Caiu em cidade errada. Esperado: IBGE 410900
2921766;Caiu em cidade errada. Esperado: IBGE 311360
2921774;Caiu em cidade errada. Esperado: IBGE 270310
